DCPLX,CCPLX,ICPLX,DATA,REUSE,DOCU,OI,OCAP,DECAP,OEXP,DEEXP,PCON,LEXP,TEXP,TOOL,SITE,SCED,A,Size,Actual Effort
0.735230822,1,0.74622904,1.39,0.884676997,1,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.054312502,1,4.174719623,0.68526216,0.5
1,1,0.890523518,1.39,0.884676997,0.831109525,0.910070488,0.929646448,0.929646448,1,1,0.9878745,0.968706235,0.968706235,1,1.054312502,1,4.174719623,0.624467992,6
1,0.8826015,0.74622904,1.39,0.884676997,1.148700682,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1.132516935,1.132516935,1,1.054312502,1,4.174719623,0.779343048,12
1,0.8826015,0.890523518,1.39,0.884676997,1.148700682,1,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.785968402,6
1,0.8826015,0.74622904,1.39,0.884676997,1.148700682,0.910070488,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.785968402,6
0.735230822,0.552483495,0.74622904,1.39,0.564513468,0.831109525,0.642950976,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1.046267153,1.046267153,1,1,1,4.174719623,0.620033149,0.25
1,0.8826015,0.890523518,1.39,0.564513468,1.148700682,1,1.11367768,1.11367768,1,1,1.003118996,1.046267153,1.046267153,1,1,1,4.174719623,0.696281978,15
1,0.8826015,0.890523518,1.39,0.564513468,1.148700682,1,1.11367768,1.11367768,1,1,1.003118996,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.696281978,6
1,0.8826015,0.890523518,1.39,0.884676997,1.148700682,1,1.11367768,1.11367768,1,1,1.003118996,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.819309422,6
0.735230822,0.8826015,0.890523518,1.39,0.564513468,0.628814982,0.642950976,0.879680954,0.879680954,0.959040589,0.959040589,0.9878745,0.945224608,0.945224608,1,1,1,4.174719623,0.954972879,0.8
0.735230822,1.287073001,1.090270766,1.39,1.105883396,1.283439039,1.07887971,1.373785877,1.373785877,1.036836755,1.036836755,0.9955783,1,1,1,1.054312502,1,4.174719623,0.862799473,12
1,0.8826015,0.890523518,1.39,1.105883396,1,0.642950976,1,1,1,1,0.9878745,0.945224608,0.945224608,1,1.054312502,1,4.174719623,0.647897039,150
0.735230822,1,0.890523518,1.39,0.564513468,0.831109525,1,1,1,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.475923619,0.5
